round	date	n_docs	tokens	mean_ce	overall_ppl	doc_ppl	eval_s	ckpt	notes
r047_san384x44_had_10M	2026-08-17 00:04	2000	817184	6.0613	428.9506	438.2086	57.4	research_runs/r047_san384x44_had_10M/pretrain_384.safetensors	SAN+Hadamard(dense H old ckpt) @10M full; loose-load after FWHT upgrade
r049_dense512x6_had_34M	2026-08-17 00:31	2000	817184	4.3022	73.8589	76.9059	9.5	research_runs/r049_dense512x6_had_34M/pretrain_512.safetensors	dense-Hadamard 512x6 N=10.6M @34M; iso-matmul-FLOPs vs r045 dense@10M; FWHT mixer
r050_dense512x6_had_10M	2026-08-17 00:34	2000	817184	6.1479	467.7246	477.3071	8.4	research_runs/r050_dense512x6_had_10M/pretrain_512.safetensors	dense-Hadamard 512x6 N=10.6M @10M; iso-D ablation vs r045 dense@10M
r051_dense896x8_had_10M	2026-08-17 00:43	2000	817184	6.0086	406.8969	416.3993	21.2	research_runs/r051_dense896x8_had_10M/pretrain_896.safetensors	dense-Hadamard h=896 L=8 N=28.87M @10M; iso-N near-iso-FLOPs vs dense512x6 (FWHT mixer)
r052_dense512x6_had_26M	2026-08-17 00:54	2000	817184	4.6162	101.1082	106.4970	11.3	research_runs/r052_dense512x6_had_26M/pretrain_512.safetensors	dense-Hadamard 512x6 N=10.62M @26M; strict iso-total-FLOPs vs r045 dense@10M
r053_dense896x8_had_sand_10M	2026-08-17 01:03	2000	817184	5.2969	199.7172	209.6863	23.3	research_runs/r053_dense896x8_had_sand_10M/pretrain_896.safetensors	dense-Hadamard h=896 L=8 + sandwich_norm @10M; paper ablation free -0.009 nats
r054_dense896x8_had_sand_0.1B	2026-08-17 02:37	2000	817184	3.5591	35.1318	37.0021	20.4	research_runs/r054_dense896x8_had_sand_0.1B/pretrain_896.safetensors	dense-Hadamard h=896 L=8 + sandwich_norm @0.1B; verification of r053 CE 5.2969 vs dense 6.0482
r056_dense512x6_had_sand_26M	2026-08-17 02:46	2000	817184	4.4964	89.6918	94.9759	8.9	research_runs/r056_dense512x6_had_sand_26M/pretrain_512.safetensors	dense-Hadamard 512x6 + sandwich_norm @26M; small-N iso-FLOPs sandwich ablation vs r052
r055_dense896x8_had_sand_10M_s2	2026-08-17 02:55	2000	817184	5.4261	227.2536	236.6197	19.8	research_runs/r055_dense896x8_had_sand_10M_s2/pretrain_896.safetensors	r053 repeat seed=2: dense-Hadamard h896 L8 + sandwich @10M
r057_dense512x6_10M_s2	2026-08-17 02:59	2000	817184	6.0892	441.0622	447.5072	9.1	research_runs/r057_dense512x6_10M_s2/pretrain_512.safetensors	dense 512x6 @10M seed=2; seed-noise floor for r053 comparison
r058_dense512x6_had_sand_full	2026-08-17 05:55	2000	817184	2.2761	9.7384	10.1039	7.2	research_runs/r058_dense512x6_had_sand_full/pretrain_512.safetensors	dense-Hadamard 512x6 + sandwich_norm @343M full epoch; small-N long-D scaling probe
r059_dense384x6_had_sand_34M	2026-08-17 09:22	2000	817184	4.2174	67.8592	71.2909	6.5	research_runs/r059_dense384x6_had_sand_34M/pretrain_384.safetensors	small-N grid: denseHad 384x6 N=7.18M @34M
r063_dense384x6_had_sand_10M	2026-08-17 09:37	2000	817184	5.8114	334.0800	346.9271	10.2	research_runs/r063_dense384x6_had_sand_10M/pretrain_384.safetensors	lean-Engram screen control: denseHad 384x6 +sandwich @10M
r064_dense384x6_had_sand_eng_10M	2026-08-17 09:42	2000	817184	5.8349	342.0400	353.7173	16.1	research_runs/r064_dense384x6_had_sand_eng_10M/pretrain_384.safetensors	lean Engram on denseHad 384x6 +sandwich @10M: site(2) orders(2,3) slots4096 sub128, +1.2M table params; B1 knowledge arm
r065_dense384x6_had_sand_eng_34M	2026-08-17 10:01	2000	817184	4.2564	70.5563	74.1622	19.3	research_runs/r065_dense384x6_had_sand_eng_34M/pretrain_384.safetensors	lean Engram @34M: site(2) orders(2,3) slots4096 sub128 on denseHad 384x6 +sandwich; control=r059 CE 4.2174; tests if knowledge-memory gain needs longer D
r066_dense384x6_had_sand_eng2_34M	2026-08-17 10:22	2000	817184	4.2273	68.5300	72.0521	15.6	research_runs/r066_dense384x6_had_sand_eng2_34M/pretrain_384.safetensors	engram-v2: value_proj zero-init + orders(1,2,3) slots8192 heads2 sub64 (+3.4M, N=10.36M) on denseHad 384x6 sand @34M; control=r059 CE 4.2174
